season,player,avg_impact,matches_played,avg_batting_z,avg_bowling_z,bowled_matches
2021.0,RD Gaikwad,-0.08325546482922298,16,-0.0870712144979299,,0
2021.0,S Kaul,-0.08795284696254854,8,-0.07929461597757878,-0.05754335336483202,8
2021.0,M Prasidh Krishna,-0.09132022097850814,10,-0.022335132531822295,-0.11905312862038495,10
2021.0,TA Boult,-0.10111070956774523,14,-0.05352489942373201,0.05382030546115278,14
2021.0,B Kumar,-0.10549840272514578,11,-0.204483117509203,0.08010604188321818,11
2021.0,Ishan Kishan,-0.10974076408297684,10,-0.09898350726041565,,0
2021.0,Mustafizur Rahman,-0.1307794756495303,14,-0.14103320569499783,-0.0928349945890098,14
2021.0,R Ashwin,-0.1491697807972056,13,-0.22057139298559852,0.18126571708097103,13
2021.0,AD Russell,-0.1717193593045993,10,-0.003287066040731451,-0.3715056172781055,8
2021.0,SV Samson,-0.17266832308392033,14,-0.29766240889554096,,0
2021.0,MS Dhoni,-0.19228692049720392,13,-0.5258203973688728,,0
2021.0,SK Raina,-0.20492682199479895,11,-0.2972864581026615,,0
2021.0,CH Morris,-0.2086391507863558,11,-0.18362825945529956,-0.4350213633025421,11
2021.0,JO Holder,-0.20914570506538271,8,-0.42867112231811916,0.02977022511656746,8
2021.0,N Pooran,-0.2111690039860691,11,-0.2883344995408122,,0
2021.0,M Shahrukh Khan,-0.21478502633888952,10,-0.24822750270759286,,0
2021.0,KH Pandya,-0.24057751551685683,13,-0.40149380660791845,-0.24919463865112196,12
2021.0,VR Iyer,-0.25225871080472895,10,-0.44432395104136246,0.14787333265145713,4
2021.0,KA Jamieson,-0.27446930195940555,9,-0.25446436773664705,-0.5191744972230047,9
2021.0,R Parag,-0.2824740218387008,11,-0.34889696612133747,-0.562590087178353,5
2021.0,SM Curran,-0.2839156322001503,9,0.15553532621514032,-0.35764040676499653,9
2021.0,DT Christian,-0.2926855590958257,10,-0.309873059635657,-0.6370584209127366,9
2021.0,SN Thakur,-0.29541123587071005,16,-0.03459127877452332,-0.21628941227224865,16
2021.0,RR Pant,-0.30809858874694174,16,-0.4959441579803137,,0
2021.0,CH Gayle,-0.3186745173487882,10,-0.34478792286725257,,0
2021.0,JR Hazlewood,-0.3424277699794897,9,2.6793213476515095e-17,-0.3242592951306667,9
2021.0,Shivam Mavi,-0.3714903942807367,9,-0.12099556646295301,-0.3254915423758091,9
2021.0,S Dhawan,-0.3936798398678415,16,-0.5003935686776018,,0
2021.0,RG Sharma,-0.39553511668857194,13,-0.3690139097303336,0.11041234173998907,1
2021.0,MP Stoinis,-0.4110202344088772,10,-0.21782209872229993,-0.9103106769458746,8
2021.0,N Rana,-0.4267797607130616,17,-0.5234435235400597,0.22905843804705192,2
2021.0,D Padikkal,-0.4422511967222383,14,-0.541497272422342,,0
2021.0,HH Pandya,-0.45508297116351265,11,-0.5215991452288873,,0
2021.0,EJG Morgan,-0.47017283059530046,15,-0.6171171041831759,,0
2021.0,V Kohli,-0.4745609469864094,15,-0.5880629134681072,,0
2021.0,DA Miller,-0.5541892125295061,8,-0.6731890557250102,,0
2021.0,R Tewatia,-0.5705217956160642,14,-0.5882893082192221,-0.2959409527242916,13
2021.0,Q de Kock,-0.5732993538134973,11,-0.7073363523554745,,0
2021.0,Shubman Gill,-0.6047927345692085,17,-0.6949836251243346,,0
2021.0,MK Pandey,-0.6313586476780643,8,-0.796054764538296,,0
2021.0,S Dube,-0.717825753952658,9,-0.7433306539926137,-0.3465273488661375,4
2021.0,KS Williamson,-0.8132031949105138,10,-1.054898919258624,,0
2021.0,WP Saha,-0.83447615049793,9,-1.0457092452450931,,0
2021.0,DA Warner,-0.9294351174489097,8,-1.0504985501178734,,0
2021.0,SS Iyer,-1.0744972547625304,8,-1.38155057838528,,0
2022.0,TH David,0.8445609408336603,8,0.9082430838958094,,0
2022.0,Mohsin Khan,0.7448263080695754,9,-0.09231388322120042,1.0965018355450253,9
2022.0,SP Narine,0.7330298178386884,14,0.15585511288305853,1.256607323229732,14
2022.0,Rashid Khan,0.7281281973455861,16,0.2175496294023783,0.8707036925396826,16
2022.0,JM Sharma,0.6466380107376553,11,0.35535386284829845,,0
2022.0,RR Pant,0.6172920483973129,14,0.22290811414070216,,0
2022.0,KD Karthik,0.4985983056401646,16,0.4691500809120085,,0
2022.0,GJ Maxwell,0.46666190779495537,13,0.5151155213408709,0.6092410281718107,10
2022.0,UT Yadav,0.42093155182546904,12,-0.0973267816248304,0.6324604387428591,12
2022.0,RA Tripathi,0.41824478883983973,14,0.48918131048614316,,0
2022.0,Q de Kock,0.39159539938288995,15,0.31118617079435024,,0
2022.0,JC Buttler,0.3650758200139592,17,0.40075142066723707,,0
